"日期","收盘","开盘","高","低","交易量","涨跌幅"
"1999-6-3","1.6053","1.6038","1.6095","1.6027","","0.04%"
"1999-6-2","1.6047","1.6110","1.6142","1.6030","","-0.47%"
"1999-6-1","1.6122","1.6020","1.6131","1.5990","","0.57%"
"1999-5-31","1.6030","1.6028","1.6057","1.6007","","0.10%"
"1999-5-28","1.6014","1.5970","1.6044","1.5955","","0.21%"
"1999-5-27","1.5980","1.5940","1.6023","1.5880","","0.26%"
"1999-5-26","1.5938","1.6048","1.6053","1.5938","","-0.69%"
"1999-5-25","1.6048","1.5980","1.6060","1.5960","","0.36%"
"1999-5-24","1.5990","1.6005","1.6040","1.5931","","-0.10%"
"1999-5-21","1.6006","1.6067","1.6092","1.6000","","-0.37%"
"1999-5-20","1.6065","1.6180","1.6226","1.6065","","-0.64%"
"1999-5-19","1.6168","1.6206","1.6227","1.6157","","-0.23%"
"1999-5-18","1.6206","1.6174","1.6258","1.6168","","0.19%"
"1999-5-17","1.6175","1.6220","1.6220","1.6148","","-0.09%"
"1999-5-14","1.6190","1.6220","1.6247","1.6137","","-0.09%"
"1999-5-13","1.6204","1.6176","1.6221","1.6170","","0.19%"
"1999-5-12","1.6173","1.6231","1.6233","1.6158","","-0.36%"
"1999-5-11","1.6231","1.6258","1.6284","1.6193","","-0.14%"
"1999-5-10","1.6254","1.6292","1.6345","1.6233","","-0.25%"
"1999-5-7","1.6295","1.6392","1.6397","1.6295","","-0.62%"
"1999-5-6","1.6397","1.6365","1.6437","1.6325","","0.20%"
"1999-5-5","1.6364","1.6277","1.6393","1.6258","","0.47%"
"1999-5-4","1.6287","1.6088","1.6294","1.6084","","1.20%"
"1999-5-3","1.6094","1.6090","1.6126","1.6067","","-0.01%"
"1999-4-30","1.6095","1.6095","1.6140","1.6060","","0.02%"
"1999-4-29","1.6092","1.6138","1.6176","1.6071","","-0.25%"
"1999-4-28","1.6133","1.6171","1.6227","1.6132","","-0.24%"
"1999-4-27","1.6172","1.6120","1.6195","1.6090","","0.32%"
"1999-4-26","1.6120","1.6140","1.6214","1.6108","","-0.22%"
"1999-4-23","1.6155","1.6160","1.6205","1.6127","","-0.08%"
"1999-4-22","1.6168","1.6058","1.6168","1.6042","","0.70%"
"1999-4-21","1.6056","1.6097","1.6137","1.6041","","-0.23%"
"1999-4-20","1.6093","1.6120","1.6200","1.6090","","-0.14%"
"1999-4-19","1.6115","1.6117","1.6239","1.6056","","-0.11%"
"1999-4-16","1.6132","1.6093","1.6160","1.6034","","0.25%"
"1999-4-15","1.6092","1.6115","1.6162","1.6080","","-0.16%"
"1999-4-14","1.6118","1.6166","1.6210","1.6113","","-0.29%"
"1999-4-13","1.6165","1.6125","1.6173","1.6120","","0.28%"
"1999-4-12","1.6120","1.6085","1.6190","1.6085","","0.28%"
"1999-4-9","1.6075","1.6058","1.6100","1.6009","","0.08%"
"1999-4-8","1.6062","1.5959","1.6120","1.5955","","0.59%"
"1999-4-7","1.5967","1.5905","1.5992","1.5875","","0.34%"
"1999-4-6","1.5913","1.6006","1.6037","1.5840","","-0.55%"
