"日期","收盘","开盘","高","低","交易量","涨跌幅"
"1999-9-30","1,282.70","1,268.40","1,291.30","1,268.40","","1.13%"
"1999-9-29","1,268.40","1,282.20","1,288.80","1,268.20","","-1.08%"
"1999-9-28","1,282.20","1,283.30","1,285.50","1,256.30","","-0.09%"
"1999-9-27","1,283.30","1,277.40","1,295.00","1,277.40","","0.46%"
"1999-9-24","1,277.40","1,280.40","1,281.20","1,263.80","","-0.23%"
"1999-9-23","1,280.40","1,310.50","1,315.20","1,277.30","","-2.30%"
"1999-9-22","1,310.50","1,307.60","1,316.20","1,297.80","","0.22%"
"1999-9-21","1,307.60","1,335.50","1,335.50","1,302.00","","-2.09%"
"1999-9-20","1,335.50","1,335.40","1,338.40","1,330.60","","0.01%"
"1999-9-17","1,335.40","1,318.50","1,337.60","1,318.50","","1.28%"
"1999-9-16","1,318.50","1,318.00","1,322.50","1,300.00","","0.04%"
"1999-9-15","1,318.00","1,336.30","1,347.20","1,318.00","","-1.37%"
"1999-9-14","1,336.30","1,344.10","1,344.20","1,330.60","","-0.58%"
"1999-9-13","1,344.10","1,351.70","1,351.70","1,341.70","","-0.56%"
"1999-9-10","1,351.70","1,347.70","1,357.70","1,346.10","","0.30%"
"1999-9-9","1,347.70","1,344.20","1,347.70","1,333.90","","0.26%"
"1999-9-8","1,344.20","1,343.40","1,355.20","1,337.40","","-0.47%"
"1999-9-7","1,350.50","1,357.20","1,361.30","1,349.60","","-0.49%"
"1999-9-3","1,357.20","1,319.10","1,357.70","1,319.10","","2.89%"
"1999-9-2","1,319.10","1,331.10","1,331.10","1,304.90","","-0.90%"
"1999-9-1","1,331.10","1,320.40","1,331.20","1,320.40","","0.81%"
"1999-8-31","1,320.40","1,324.00","1,333.30","1,307.00","","-0.27%"
"1999-8-30","1,324.00","1,348.30","1,350.70","1,322.80","","-1.80%"
"1999-8-27","1,348.30","1,362.00","1,365.60","1,347.30","","-1.01%"
"1999-8-26","1,362.00","1,381.80","1,381.80","1,361.50","","-1.43%"
"1999-8-25","1,381.80","1,363.50","1,382.80","1,359.20","","1.34%"
"1999-8-24","1,363.50","1,360.20","1,373.30","1,353.60","","0.24%"
"1999-8-23","1,360.20","1,336.60","1,360.20","1,336.60","","1.77%"
"1999-8-20","1,336.60","1,323.60","1,336.60","1,323.60","","0.98%"
"1999-8-19","1,323.60","1,332.80","1,332.80","1,315.30","","-0.69%"
"1999-8-18","1,332.80","1,344.20","1,344.20","1,332.10","","-0.85%"
"1999-8-17","1,344.20","1,330.80","1,344.20","1,328.80","","1.01%"
"1999-8-16","1,330.80","1,327.70","1,331.00","1,320.50","","0.23%"
"1999-8-13","1,327.70","1,298.20","1,327.70","1,298.20","","2.27%"
"1999-8-12","1,298.20","1,301.90","1,313.60","1,298.10","","-0.28%"
"1999-8-11","1,301.90","1,281.40","1,301.90","1,281.40","","1.60%"
"1999-8-10","1,281.40","1,297.80","1,298.60","1,267.70","","-1.26%"
"1999-8-9","1,297.80","1,300.30","1,306.70","1,296.00","","-0.19%"
"1999-8-6","1,300.30","1,313.70","1,316.70","1,293.20","","-1.02%"
"1999-8-5","1,313.70","1,305.30","1,313.70","1,287.20","","0.64%"
"1999-8-4","1,305.30","1,322.20","1,330.20","1,304.50","","-1.28%"
"1999-8-3","1,322.20","1,328.00","1,336.10","1,314.90","","-0.44%"
"1999-8-2","1,328.00","1,328.70","1,344.70","1,325.20","","-0.05%"
"1999-7-30","1,328.70","1,341.00","1,350.90","1,328.50","","-0.92%"
"1999-7-29","1,341.00","1,365.40","1,365.40","1,332.60","","-1.79%"
"1999-7-28","1,365.40","1,362.80","1,370.40","1,355.60","","0.19%"
"1999-7-27","1,362.80","1,351.00","1,368.70","1,347.80","","1.11%"
"1999-7-26","1,347.80","1,356.90","1,358.60","1,346.20","","-0.67%"
"1999-7-23","1,356.90","1,361.00","1,367.40","1,349.90","","-0.30%"
"1999-7-22","1,361.00","1,379.30","1,379.30","1,354.00","","-1.33%"
"1999-7-21","1,379.30","1,377.10","1,386.70","1,372.60","","0.16%"
"1999-7-20","1,377.10","1,407.70","1,407.70","1,375.20","","-2.17%"
"1999-7-19","1,407.70","1,418.80","1,420.30","1,404.60","","-0.78%"
"1999-7-16","1,418.80","1,409.60","1,418.80","1,407.10","","0.65%"
"1999-7-15","1,409.60","1,398.20","1,409.80","1,398.20","","0.82%"
"1999-7-14","1,398.20","1,393.60","1,400.00","1,386.50","","0.33%"
"1999-7-13","1,393.60","1,399.10","1,399.10","1,386.80","","-0.39%"
